year,door,kilometres
2007,2.0,178000
2016,5.0,96133
2016,4.0,76916
2017,4.0,108933
2017,5.0,71239
2016,4.0,98700
2018,5.0,37000
2021,3.0,23000
2009,5.0,190000
2017,5.0,44500
2021,4.0,28000
2022,5.0,1011
2020,5.0,22000
2019,5.0,55000
2018,4.0,46000
2018,5.0,60000
2008,5.0,121000
2022,4.0,4700
2018,5.0,61000
2019,5.0,58000
2018,5.0,62000
2015,4.0,115000
1997,2.0,335000
2019,5.0,28000
2017,5.0,90000
2020,5.0,6000
2022,4.0,1111
2022,5.0,1000
2012,5.0,122000
2022,4.0,500
2019,5.0,60900
2019,5.0,73000
2020,4.0,86000
2015,5.0,71000
2011,4.0,39000
2016,5.0,126000
2014,4.0,125000
2017,4.0,83000
2015,4.0,126000
2013,5.0,102000
2011,4.0,168200
2017,5.0,45100
2022,4.0,1111
2022,4.0,4700
2017,5.0,75000
2012,5.0,136000
2019,5.0,29530
2018,5.0,28300
2018,5.0,99700
2019,5.0,69100
2019,5.0,30000
2018,4.0,99100
2017,5.0,59000
2016,4.0,143000
2018,4.0,79000
2011,5.0,137000
2021,2.0,4100
2017,5.0,12000
2017,4.0,65000
2019,4.0,31000
2020,4.0,52900
2021,2.0,2500
2018,3.0,25500
2011,2.0,19200
2016,4.0,100000
2020,5.0,20000
2019,4.0,31000
2014,4.0,119000
2017,5.0,47000
2019,4.0,57000
2017,5.0,120000
2016,5.0,82000
2015,5.0,67000
2008,2.0,91400
2014,5.0,43000
2016,5.0,62000
2021,5.0,48500
2012,5.0,98000
2019,5.0,36000
2016,5.0,60000
2019,5.0,36000
2008,3.0,150000
2022,5.0,1000
2014,5.0,118000
2018,5.0,39600
2016,4.0,70943
2017,5.0,42800
2015,5.0,134545
2014,5.0,119000
2020,4.0,127000
2019,4.0,83000
2016,5.0,61000
2018,4.0,120000
2014,5.0,69000
2012,5.0,148000
2016,5.0,73000
2017,4.0,79100
2008,5.0,173000
2021,5.0,15100
2021,5.0,48750
1995,5.0,125000
2021,5.0,15000
2016,4.0,215000
2016,4.0,135000
2009,5.0,170000
2022,5.0,10897
2017,5.0,74000
2019,5.0,88000
2012,5.0,119000
2021,5.0,10000
2019,5.0,69000
2017,5.0,83100
2021,4.0,29120
2018,5.0,111000
2016,4.0,63000
2022,5.0,1800
2015,2.0,179100
2008,4.0,73000
2011,4.0,89000
2017,5.0,41000
2020,2.0,3000
2012,5.0,168000
2012,5.0,86000
2017,4.0,121000
2013,5.0,106000
2019,5.0,28000
2017,4.0,55000
2018,5.0,67000
2022,5.0,1400
2014,4.0,86000
2019,4.0,35000
2021,4.0,21000
2017,5.0,70000
2022,4.0,18000
2013,4.0,143000
2020,5.0,37000
2009,5.0,220000
2018,5.0,41800
2016,5.0,58500
2018,5.0,30000
2014,5.0,76000
2018,5.0,15300
2016,5.0,68000
2018,5.0,52000
2017,5.0,35000
2019,4.0,37000
2011,5.0,114600
2012,4.0,147000
2018,5.0,58000
2011,4.0,80000
2018,5.0,33000
2016,5.0,80000
2015,5.0,55000
2013,5.0,34000
2019,5.0,48000
2015,5.0,51000
2020,5.0,11000
2022,5.0,1000
2017,5.0,87000
2018,5.0,67082
2013,5.0,135000
2017,5.0,154451
2014,5.0,107000
2018,5.0,52000
2019,4.0,49000
2017,5.0,75358
2019,4.0,57500
2015,5.0,84000
